Search keyword,Campaign,Ad group,Currency,Clicks,Impressions,Cost,CTR,Conv. value,All conv.,Avg. CPC,Conversions,Cost / conv.,Conv. value / cost
anonymized_keyword,anonymized,anonymized_ad_group,USD,14,83,36.11,0.16870000000000002,36.0,1.0,2.58,1.0,36.11,1.0
anonymized_keyword,anonymized,anonymized_ad_group,USD,5,88,8.13,0.056799999999999996,90.0,3.0,1.63,3.0,2.71,11.07
anonymized_keyword,anonymized,anonymized_ad_group,USD,4,25,5.07,0.16,351.94,1.5,1.27,1.5,3.38,69.42
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,1872,4980,1486.83,0.3759,55274.31,257.38,0.79,222.05,6.69,37.23
anonymized_keyword,anonymized,anonymized_ad_group,USD,7,62,7.25,0.11289999999999999,399.63,2.0,1.04,2.0,3.62,55.12
anonymized_keyword,anonymized,anonymized_ad_group,USD,117,2290,544.45,0.051100000000000007,989.81,14.01,4.65,8.01,68.01,1.82
anonymized_keyword,anonymized,anonymized_ad_group,USD,13,101,22.48,0.12869999999999998,765.35,5.0,1.73,5.0,4.5,34.05
anonymized_keyword,anonymized_Service,anonymized_ad_group,USD,30,1042,34.65,0.0288,254.35,0.6,1.16,0.6,57.75,7.34
anonymized_keyword,anonymized,anonymized_ad_group,USD,38,280,36.88,0.13570000000000002,168.99,5.2,0.97,3.2,11.52,4.58
anonymized_keyword,anonymized,anonymized_ad_group,USD,13,86,20.25,0.1512,208.97,3.0,1.56,3.0,5.94,11.73
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,25,40,16.17,0.625,79.99,1.0,0.65,1.0,16.17,4.95
anonymized_keyword,anonymized,anonymized_ad_group,USD,10,180,9.84,0.0556,91.73,2.01,0.98,1.01,9.78,9.32
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,82,865,278.76,0.09480000000000001,2355.26,18.17,3.4,10.17,27.41,8.45
