Search keyword,Campaign,Ad group,Currency,Clicks,Impressions,Cost,CTR,Conv. value,Conversions,All conv.,Cost / conv.,Conv. value / cost
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,251,692,25.08,0.3627,429.71,1.83,262.83,13.68,17.13
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,349,1584,44.45,0.22030000000000002,2426.52,13.27,560.27,3.35,54.59
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,652,1687,72.21,0.3865,2250.13,11.55,752.68,6.25,31.16
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,1886,4141,32.4,0.45539999999999997,2380.15,12.71,2113.71,2.55,73.46
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,139,1125,38.93,0.12359999999999999,443.37,11.32,166.32,3.44,11.39
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,61,147,11.19,0.415,368.4,2.0,58.0,5.6,32.92
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,1026,3012,67.44,0.3406,6270.02,42.29,1417.93,1.59,92.97
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,1983,3160,48.38,0.6275,3100.45,16.52,2184.52,2.93,64.09
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,957,5832,246.53,0.1641,270.06,1.68,430.68,146.93,1.1
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,19,51,2.96,0.3725,220.29,0.99,12.99,2.99,74.42
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,443,1827,32.36,0.2425,394.92,1.5,232.5,21.57,12.2
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,426,10769,81.39,0.039599999999999996,2645.5,14.31,379.21,5.69,32.5
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,445,8704,232.1,0.051100000000000007,564.87,3.0,134.0,77.37,2.43
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,30,148,13.95,0.2027,247.5,1.0,19.0,13.95,17.74
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,1771,2963,271.18,0.5977,13969.77,81.16,3217.67,3.34,51.51
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,371,805,54.59,0.46090000000000003,1620.04,10.67,397.67,5.12,29.68
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,37,468,7.27,0.0791,298.23,6.0,72.0,1.21,41.02
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,8,13,1.3,0.6154,68.31,2.83,36.83,0.46,52.54
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,61,183,5.12,0.3333,965.13,4.0,154.0,1.28,188.5
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,191,1968,32.91,0.0971,191.98,2.47,198.47,13.31,5.83
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,64,298,2.89,0.2148,236.83,1.0,90.0,2.89,81.95
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,43,358,5.96,0.1201,360.41,6.83,68.83,0.87,60.47
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,281,1602,35.58,0.1754,562.37,2.89,283.89,12.3,15.81
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,232,1175,38.94,0.1974,885.23,4.46,327.06,8.73,22.73
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,524,7228,87.47,0.0725,1201.04,15.59,364.63,5.61,13.73
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,4,21,2.12,0.1905,169.45,1.0,5.0,2.12,79.93
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,1745,33795,690.01,0.0516,4116.89,19.5,1061.5,35.38,5.97
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,86,2054,6.79,0.04190000000000001,820.66,4.0,115.0,1.7,120.86
anonymized_keyword,anonymized_Generic,anonymized_ad_group,USD,9,102,6.27,0.0882,216.36,1.0,5.0,6.27,34.51
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,157,1619,30.35,0.09699999999999999,505.04,2.41,151.01,12.61,16.64
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,219,717,19.11,0.3054,1378.2,9.1,415.1,2.1,72.12
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,1837,26093,246.1,0.0704,5937.72,39.67,1646.33,6.2,24.13
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,50,614,10.67,0.0814,273.47,1.42,47.42,7.53,25.63
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,22,487,4.08,0.0452,258.42,3.0,35.0,1.36,63.34
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,11980,38338,742.08,0.3125,36925.17,186.71,12146.1,3.97,49.76
anonymized_keyword,anonymized_Brand,anonymized_ad_group,USD,297,1478,54.59,0.2009,1493.69,7.83,348.83,6.97,27.36
